job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,37,0.649439463372663,0.0,0.649439463372663,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,38,0.6364043238562321,0.0,0.6364043238562321,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,39,0.6402366073558723,0.0,0.6402366073558723,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,40,0.6414403393764264,0.0,0.6414403393764264,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,41,0.6252204528639655,0.0,0.6252204528639655,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,42,0.6305035149697825,0.0,0.6305035149697825,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,43,0.6230065920425736,0.0,0.6230065920425736,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,44,0.6204296611968744,0.0,0.6204296611968744,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,45,0.6164904131475029,0.0,0.6164904131475029,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,46,0.6146043304188347,0.0,0.6146043304188347,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,47,0.616311332410796,0.0,0.616311332410796,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,48,0.6052899344531099,0.0,0.6052899344531099,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,49,0.603519967534267,0.0,0.603519967534267,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,50,0.6004828915876501,0.0,0.6004828915876501,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,51,0.5994224378585709,0.0,0.5994224378585709,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,52,0.5976584241041754,0.0,0.5976584241041754,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,53,0.592033009399038,0.0,0.592033009399038,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,54,0.5889741984393814,0.0,0.5889741984393814,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,55,0.5896931388450943,0.0,0.5896931388450943,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,56,0.5802397311677245,0.0,0.5802397311677245,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,57,0.575031409830484,0.0,0.575031409830484,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,58,0.5893096263145298,0.0,0.5893096263145298,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,59,0.5812595145928254,0.0,0.5812595145928254,mean_reciprocal_rank_filtered_with_test,
b663b8a8,wordcraft_data,distmult,0,train,KvsAll,train,60,0.5799295434207192,0.0,0.5799295434207192,mean_reciprocal_rank_filtered_with_test,
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.20692094031106315
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.22950453550209848
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.24444718438402213
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.2609331768939799
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.25724650204334637
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.26136869849865
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2809900915245402
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.26811731238972947
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.264224063034645
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.2664715560508447
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.27008252433470115
0d767bb8,wordcraft_data,distmult,0,valid,entity_ranking,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.2706456245572471
